Marker	LG	cM	neg_log.qval.
5310	1	0	0
15611	1	1.173478395	0
19531	1	1.936913362	0
14617	1	1.936913462	0
18161	1	1.936913662	0
48394	1	1.936913762	0
14117	1	1.936913862	0
3203	1	1.936914162	0
45823	1	1.936914262	0
37200	1	1.936914362	0
46782	1	1.936914462	0
55303	1	2.462053279	0
38438	1	2.985393746	0
27966	1	3.678795266	0
9449	1	4.216588203	0
22393	1	5.988424125	0
51512	1	6.256116139	0
38095	1	7.078565984	0.201318001
21399	1	7.3740756	0
4138	1	9.789065704	0
33492	1	11.06297726	0.238831842
17784	1	13.40501474	0
53697	1	13.40501484	0
48179	1	39.87618948	0.700870991
9458	1	40.46099248	0.39346997
2409	1	41.74731349	1.733893877
11	1	43.22998528	0.77373359
37608	1	44.74287574	0
18384	1	44.74287584	0.238267658
8225	1	45.24457681	0
22273	1	47.9903853	0
45488	1	48.27033302	0
38469	1	53.91503815	0
23658	1	54.35999365	0
19315	1	54.7897339	0
52883	1	55.38253731	0
28251	1	56.8819982	0
19452	1	56.8819983	0
40332	1	58.65019203	0
22924	1	59.07205433	0
51698	1	59.8043363	0
40899	1	64.53668299	0
27904	1	65.11966826	0
34847	1	67.22546034	0
47765	1	68.73345648	0
13304	1	69.1838439	0
42874	1	101.4955528	0
42919	1	101.4955529	0
38937	1	102.1543864	0
37951	1	104.0704921	0
28348	1	104.2652063	0
46398	1	104.7781665	0
2620	1	105.7729303	0
3788	1	106.9977949	0
18617	1	107.590648	0
11738	1	107.5906482	0
35465	1	108.9484875	0
26279	1	131.6428966	0
46704	1	133.2347191	0
31375	1	133.9448497	0
34287	1	135.0539418	0
18162	1	135.0539419	0
52220	1	135.053942	0
46632	1	135.0539421	0
3808	1	135.0539422	0
53785	1	135.0539423	0
28046	1	135.3240337	0
4617	1	135.3240338	0
20013	1	135.3240339	0
14677	1	136.1224497	0
51288	1	136.8369027	0
28482	1	137.1833415	0
14849	1	137.7078858	0
21004	1	137.7078859	0
1201	1	137.9707926	0
54629	1	137.9707927	0
41596	1	137.9707928	0
3417	1	138.5082816	0
1891	1	138.5082817	0
48957	1	139.5894052	0
37978	1	139.5894053	0
55942	1	139.5894054	0
14193	1	152.9116308	0
41304	1	188.8602356	0
1516	1	200.2702852	0
30822	1	200.8186758	0
23174	1	200.8186759	0
10453	1	201.1393931	0
9222	1	201.4030837	0
14354	1	202.2097535	0
38017	1	202.4671893	0
55122	1	202.7519481	0
19247	1	202.7519482	0
52025	1	202.7519483	0
20743	1	202.7519484	0
37838	1	203.0310224	0
35743	1	203.3044396	0
12960	1	203.5463243	0
3385	1	203.5463244	0
25424	1	203.7881582	0
34987	1	204.0496461	0
25404	1	204.0496462	0
