id_hagr,aliases,symbol_hugo,name_common,entrez_id,why,band,location_start,location_end,orientation,unigene,swissprot,acc_promoter,acc_orf,acc_cds,references
1,GHBP,GHR,growth hormone receptor,2690,mammal,5p13-p12,42459782,42757736,1,125180,GHR_HUMAN,,NM_000163,NP_000154,"9371826,12933651,10875265,11213276,2233903,10895047,12392795,14698816,15295107,15308771,15342923,8612101,15466429,15536017,15582293,15621211,15919742,16129095,15985475,16339324,16524678,16682650,16799137,16939484,17183314,17173483,21325617,19286975,19234595,7664676,16282554","Ghr;Mus musculus,Q95MJ9_PAN;Pan troglodytes,Ghr;Rattus norvegicus"
2,GRF INN GHRF,GHRH,growth hormone releasing hormone,2691,mammal,20q11.2,35312902,35318706,-1,37023,SLIB_HUMAN,HS_GHRH,NM_021081,NP_066567,"11443181,11213276,12392795,14751587,15342923,15579798,8670892,10522985,8421089,15464751,10654626,11283314,11742825,24175087,7904758","SLIB_BOVIN;Bos taurus,Ghrh;Mus musculus,GHRH;Pan troglodytes,Ghrh;Rattus norvegicus"
3,SHC SHCA,SHC1,SHC (Src homology 2 domain containing) transforming protein 1,6464,mammal,1q21,151747847,151759913,-1,433795,SHC1_HUMAN,,NM_003029,NP_003020,"10580504,11884717,12032825,12571362,12483226,14530863,14501182,12763525,7564569,14698816,15078873,15036421,15295107,15308771,15466429,15582293,15339240,15992607,15930121,16439820,16763167,18413607,18838380,19327338,19892704,20085805,20624962,16026332",
4,PIT1 CPHD1 GHF-1 Pit-1 POU1F1a,POU1F1,POU class 1 homeobox 1,5449,mammal,3p11,87391472,87408427,-1,591654,PIT1_HUMAN,,NM_000306,NP_000297,"11371619,1509263,1509262,11718806,10549301,8612966,14698816,12173688,15295107,15342923,15147972,15466429,15582293,15699523,15888324,15621211,15919742,16449798,11283314,15459176","F1MHR1_BOV;Bos taurus,pou1f1;Danio rerio,Pou1f1;Mus musculus,POU1F1;Pan troglodytes"
5,CPHD2 PROP-1,PROP1,PROP paired-like homeobox 1,5626,mammal,5q35.3,177351841,177355849,-1,158301,PROP1_HUMAN,,NM_006261,NP_006252,"8900272,11487592,12915652,9920061,11213270,11927387,8612966,12663691,14698816,12173688,15295107,15342923,15466429,15569359,15664625,15664737,15718052,15860463,15621211,15919742,11283314,11719795,16611697,15459176,20679996,19286975,20720157,8934515","A7TZP9_BOV;Bos taurus,prop1;Danio rerio,Prop1;Mus musculus,PROP1;Pan troglodytes,Prop1;Rattus norvegicus"
6,P53 BCC7 LFS1 TRP53,TP53,tumor protein p53,7157,"mammal,model,cell",17p13.1,7512463,7531642,-1,654481,P53_HUMAN,HS_TP53,NM_000546,NP_000537,"12032825,11780111,9733514,9733515,12142523,12115733,12533509,10037601,9275177,8654922,12750285,7958916,10973262,9218725,12917625,1511730,8051093,9989825,10581258,11023999,10557106,12719720,12665570,10364153,15604409,10761921,11971980,10910364,9312059,9353177,12397361,12397362,11348659,10805805,9171368,11430832,12093737,10950866,10877825,10403253,10805721,11257107,12006491,11672523,11099047,9119221,12509446,1535557,10838077,8275084,1552940,12960381,12089551,11934988,14712078,12914701,12914700,11331603,15078873,12735900,15013668,11672522,15122989,15044383,15295107,15247009,15308771,14992722,14871929,15383658,14726476,12470840,15466429,15732191,12015983,9529248,15361884,16079796,16054100,10227293,16107615,12882406,15992607,15905204,16079851,16139996,16303568,15716376,16302026,16079181,16269335,16441846,16439820,16476774,16443777,16391230,16337913,14713953,15781852,11035041,10691732,10757812,15147944,15550242,16728594,11280729,16892051,15152190,12086851,16286925,15059885,17015833,17014852,16652371,16675955,17227869,10710310,17122775,18242175,17973971,18242663,17889646,17637672,17664422,12426394,15928081,19013273,21307849,19718024,19620979,19718028,19416129,19239418,18843043,18362329,17546051,20194434,23349637,23602569,23744274,22384090,23124852,18204081,18800172,21522133,12447382,12364621,21368881,19118192,12629205,9716137,17581637,23973961","P53_BOVIN;Bos taurus,tp53;Danio rerio,Trp53;Mus musculus,TP53;Pan troglodytes,Tp53;Rattus norvegicus"
7,TR hTR TRC3 DKCA1 PFBMFT2 SCARNA19,TERC,telomerase RNA component,7012,"mammal,cell",3q26,127471195,127495720,-1,436182,,,NR_001566,,"12540856,7544491,9454332,1582420,9335332,10089885,2655926,1689810,10973262,9849895,9742964,9560153,11850781,10568811,15974869,11574891,11081503,15098033,15235603,15189140,15312299,15367665,14746617,15466429,15556289,15545322,15326392,12174094,20139977,23159929,23535734,12426399,16284252,19915151",
8,TP2 TRT CMM9 EST2 TCS1 hTRT DKCA2 DKCB4 hEST2 PFBMFT1,TERT,telomerase reverse transcriptase,7015,"cell,functional",5p15.33,1306286,1348159,-1,492203,TERT_HUMAN,,NM_003219,NP_003210,"8978029,9110970,9454332,9288757,1582420,11387197,12034875,2655926,12917625,9849895,9742964,7761406,11850781,10568811,12764382,8692840,8618017,7727765,8808676,15974869,9600234,11081503,12527915,12827497,9988278,11452025,11277998,12717449,12729798,9328464,12089551,15079066,15189140,10440377,15247011,15312299,14726476,10606235,15556289,15574496,15326392,15688016,15814878,15905204,16477310,18073191,19571879,19013273,21307849,21113150,20643931,18184747,15184392,18843043,15843522,19580824,23349637,23159929,23535731,23535734,16107853,23744274,9973199,20605919,19915151","TERT;Bos taurus,tert;Danio rerio,Tert;Mus musculus,Tert;Rattus norvegicus,EST2;Saccharomyces cerevisiae"
9,AT1 ATA ATC ATD ATE ATDC TEL1 TELO1,ATM,ataxia telangiectasia mutated,472,mammal,11q22-q23,107599052,107741966,1,367437,ATM_HUMAN,,NM_000051,NP_000042,"12540856,9733514,9733515,12142523,9363685,10037601,12919958,2005780,9117983,12215213,9312059,9353177,2836804,10783165,10802669,10839545,10567403,14712078,14707289,15073328,15059890,11331603,15122331,12526788,15353794,14745549,7777860,15466429,15655364,15345673,15905204,15733840,8843194,11172010,10691732,12629512,16675955,10435585,21459046,20966255,21186350,19524511,17522062,18804090,20453858,20194434,23019125,23277187,18931659,12447382,9405657,23408054","ATM;Bos taurus,atm;Danio rerio,tefu;Drosophila melanogaster,Atm;Mus musculus,ATM;Pan troglodytes,Atm;Rattus norvegicus"
10,ATF QPD UPA URK u-PA BDPLT5,PLAU,"plasminogen activator, urokinase",5328,mammal,10q24,75340940,75347258,1,77274,UROK_HUMAN,HS_PLAU,NM_002658,NP_002649,"12898287,12149463,12954482,15247062,10638529,15621205,16139868,16787960,9060969","UROK_BOVIN;Bos taurus,PLAU (2 of;Danio rerio,Plau;Mus musculus,PLAU;Pan troglodytes,Plau;Rattus norvegicus"
