id_hagr	aliases	symbol_hugo	name_common	entrez_id	why	band	location_start	location_end	orientation	unigene	swissprot	acc_promoter	acc_orf	acc_cds	references
1	GHBP	GHR	growth hormone receptor	2690	mammal	5p13-p12	42459782	42757736	1	125180	GHR_HUMAN		NM_000163	NP_000154	9371826,12933651,10875265,11213276,2233903,10895047,12392795,14698816,15295107,15308771,15342923,8612101,15466429,15536017,15582293,15621211,15919742,16129095,15985475,16339324,16524678,16682650,16799137,16939484,17183314,17173483,21325617,19286975,19234595,7664676,16282554
2	GRF INN GHRF	GHRH	growth hormone releasing hormone	2691	mammal	20q11.2	35312902	35318706	-1	37023	SLIB_HUMAN	HS_GHRH	NM_021081	NP_066567	114,431,811,121,327,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
3	SHC SHCA	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	6464	mammal	1q21	151747847	151759913	-1	433795	SHC1_HUMAN		NM_003029	NP_003020	###############################################################################################################################################################################################################################################################
4	PIT1 CPHD1 GHF-1 Pit-1 POU1F1a	POU1F1	POU class 1 homeobox 1	5449	mammal	3p11	87391472	87408427	-1	591654	PIT1_HUMAN		NM_000306	NP_000297	1,137,161,915,092,630,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
5	CPHD2 PROP-1	PROP1	PROP paired-like homeobox 1	5626	mammal	5q35.3	177351841	177355849	-1	158301	PROP1_HUMAN		NM_006261	NP_006252	###############################################################################################################################################################################################################################################################
6	P53 BCC7 LFS1 TRP53	TP53	tumor protein p53	7157	mammal,model,cell	17p13.1	7512463	7531642	-1	654481	P53_HUMAN	HS_TP53	NM_000546	NP_000537	12032825,11780111,9733514,9733515,12142523,12115733,12533509,10037601,9275177,8654922,12750285,7958916,10973262,9218725,12917625,1511730,8051093,9989825,10581258,11023999,10557106,12719720,12665570,10364153,15604409,10761921,11971980,10910364,9312059,9353177,12397361,12397362,11348659,10805805,9171368,11430832,12093737,10950866,10877825,10403253,10805721,11257107,12006491,11672523,11099047,9119221,12509446,1535557,10838077,8275084,1552940,12960381,12089551,11934988,14712078,12914701,12914700,11331603,15078873,12735900,15013668,11672522,15122989,15044383,15295107,15247009,15308771,14992722,14871929,15383658,14726476,12470840,15466429,15732191,12015983,9529248,15361884,16079796,16054100,10227293,16107615,12882406,15992607,15905204,16079851,16139996,16303568,15716376,16302026,16079181,16269335,16441846,16439820,16476774,16443777,16391230,16337913,14713953,15781852,11035041,10691732,10757812,15147944,15550242,16728594,11280729,16892051,15152190,12086851,16286925,15059885,17015833,17014852,16652371,16675955,17227869,10710310,17122775,18242175,17973971,18242663,17889646,17637672,17664422,12426394,15928081,19013273,21307849,19718024,19620979,19718028,19416129,19239418,18843043,18362329,17546051,20194434,23349637,23602569,23744274,22384090,23124852,18204081,18800172,21522133,12447382,12364621,21368881,19118192,12629205,9716137,17581637,23973961
7	TR hTR TRC3 DKCA1 PFBMFT2 SCARNA19	TERC	telomerase RNA component	7012	mammal,cell	3q26	127471195	127495720	-1	436182			NR_001566		12540856,7544491,9454332,1582420,9335332,10089885,2655926,1689810,10973262,9849895,9742964,9560153,11850781,10568811,15974869,11574891,11081503,15098033,15235603,15189140,15312299,15367665,14746617,15466429,15556289,15545322,15326392,12174094,20139977,23159929,23535734,12426399,16284252,19915151
8	TP2 TRT CMM9 EST2 TCS1 hTRT DKCA2 DKCB4 hEST2 PFBMFT1	TERT	telomerase reverse transcriptase	7015	cell,functional	5p15.33	1306286	1348159	-1	492203	TERT_HUMAN		NM_003219	NP_003210	8978029,9110970,9454332,9288757,1582420,11387197,12034875,2655926,12917625,9849895,9742964,7761406,11850781,10568811,12764382,8692840,8618017,7727765,8808676,15974869,9600234,11081503,12527915,12827497,9988278,11452025,11277998,12717449,12729798,9328464,12089551,15079066,15189140,10440377,15247011,15312299,14726476,10606235,15556289,15574496,15326392,15688016,15814878,15905204,16477310,18073191,19571879,19013273,21307849,21113150,20643931,18184747,15184392,18843043,15843522,19580824,23349637,23159929,23535731,23535734,16107853,23744274,9973199,20605919,19915151
9	AT1 ATA ATC ATD ATE ATDC TEL1 TELO1	ATM	ataxia telangiectasia mutated	472	mammal	11q22-q23	107599052	107741966	1	367437	ATM_HUMAN		NM_000051	NP_000042	12540856,9733514,9733515,12142523,9363685,10037601,12919958,2005780,9117983,12215213,9312059,9353177,2836804,10783165,10802669,10839545,10567403,14712078,14707289,15073328,15059890,11331603,15122331,12526788,15353794,14745549,7777860,15466429,15655364,15345673,15905204,15733840,8843194,11172010,10691732,12629512,16675955,10435585,21459046,20966255,21186350,19524511,17522062,18804090,20453858,20194434,23019125,23277187,18931659,12447382,9405657,23408054
10	ATF QPD UPA URK u-PA BDPLT5	PLAU	plasminogen activator, urokinase	5328	mammal	10q24	75340940	75347258	1	77274	UROK_HUMAN	HS_PLAU	NM_002658	NP_002649	12,898,287,121,494,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
11	EM9 TTD XPD COFS2	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2	2068	mammal	19q13.3	50546685	50565669	-1	487294	ERCC2_HUMAN		NM_000400	NP_000391	11,950,998,377,073,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
12	CSA CKN1 UVSS2	ERCC8	excision repair cross-complementing rodent repair deficiency, complementation group 8	1161	human	5q12.1	60205415	60276628	-1	435237	ERCC8_HUMAN	HS_CKN1	NM_000082	NP_000073	766,433,511,089,984,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
13	RECQ3 RECQL2 RECQL3	WRN	Werner syndrome, RecQ helicase-like	7486	human,mammal,cell	8p12-p11.2	31010319	31150818	1	632050	WRN_HUMAN	NM_000553	NM_000553	NP_000544	8602509,11089984,9352493,9288107,9771700,10725663,11087895,12934712,11023999,14527998,147113,12181313,12771022,10364153,10880505,12827497,12842909,9117983,14612404,11348659,10373438,12803543,12200042,12937274,14612507,12384494,11889123,11598021,14712220,10678659,11257107,12750383,9789047,11896071,10806190,10781066,11279038,11027336,9681877,14734561,14657658,15026416,15115755,14618025,15235603,12882351,15246744,15236770,15292449,15336909,15331638,15353794,15367665,15200954,15466429,15610765,11809708,12202749,15916783,15897889,12024027,16087220,16098926,16141234,12665521,15733840,16287861,16339323,16405962,16449207,10757812,11280729,16723399,16714450,17015833,18203716,20477760,19741171,19077115,20215438,9611231,11152456
14	FPL IDC LFP CDDC EMD2 FPLD HGPS LDP1 LMN1 LMNC PRO1 CDCD1 CMD1A FPLD2 LMNL1 CMT2B1 LGMD1B	LMNA	lamin A/C	4000	human	1q21.2-q21	152897570	152922944	1	594444	LMNA_HUMAN		NM_170707	NP_733821	12714972,11089984,12927431,1944388,12748643,147113,8278403,18381888,9117983,2366592,10080180,8838815,14996929,12735900,15130666,15184648,15145358,15268757,15353794,15466429,15479179,15722103,15688064,15750600,15756215,15980864,16079796,11923874,12235369,10579712,12913070,15843403,15317753,15972724,16129833,16248985,16269543,16461887,16492728,16481476,16645051,16511604,16671095,16738054,16801550,18256394,17469202,21807766,19926845,21346760,18311132,21746928,20961378,18843043,22541428,22419169,23019125,23917225,14570852,14755333,20605919
15	IGFR CD221 IGFIR JTK13	IGF1R	insulin-like growth factor 1 receptor	3480	model	15q26.3	97010287	97319034	1	643120	IGF1R_HUMAN		NM_000875	NP_000866	12483226,12843179,1849352,11292875,11021802,8247153,8402902,10077613,14698816,9716402,14628051,8402901,14657428,15295107,11133160,15308771,14871929,14745968,15342923,15466429,15565107,15621218,15582293,15339240,15345673,15888324,15919742,16123266,11172010,16524678,16631585,15956778,18316725,22132081,18959478,18615585
16	TRX TRDX TRX1	TXN	thioredoxin	7295	model,functional	9q31	110085862	110098327	-1	435136	THIO_HUMAN	HS_TXN	NM_003329	NP_003320	122,308,821,274,312,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
17		KL	klotho	9365	mammal	13q12	32488570	32538279	1	524953	KLOT_HUMAN		NM_004795	NP_004786	9363890,11792841,12119304,10837414,14701853,12369777,12475907,12362891,15295107,15302783,15466429,15677572,15763166,12669274,12110410,16123266,16186101,16144705,11016890,17014852,16436388,17086194,16436465,17690294,17569864,18762812,18678710,19635988,21474560,19077115,14528024,15665504,17452648
18	RBP3 E2F-1 RBAP1 RBBP3	E2F1	E2F transcription factor 1	1869	cell,downstream	20q11.2	31727149	31737854	-1	654393	E2F1_HUMAN		NM_005225	NP_005216	13,213,488,357,823,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
19	CFC NS1 SHP2 BPTP3 PTP2C PTP-1D SH-PTP2 SH-PTP3	PTPN11	protein tyrosine phosphatase, non-receptor type 11	5781	downstream	12q24	111319255	111410436	1	506852	PTN11_HUMAN		NM_002834	NP_002825	402,538,589,928,671,000,000,000,000,000,000,000,000,000,000,000,000,000
20	p52 p105 H2TF1 LYT10 LYT-10 NF-kB2	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	4791	functional	10q24	104145452	104152257	1	73090	NFKB2_HUMAN		NM_002502	NP_002493	9989825,10094826,12380689,12020944,11491660,11291593,10978675,9143018,10485710,10485711,12470896,10894547,12150997,15176485,12391591,10754263,11493922,12424381,16183991,18599449,22706308,19135889,22302838,23159929,23019125,16723383,23636330,23521863,15685170,15685173,9011632,12529332
21	STAT5	STAT5B	signal transducer and activator of transcription 5B	6777	downstream	17q11.2	37604721	37681950	-1	632256	STA5B_HUMAN		NM_012448	NP_036580	10,817,928,114,701,300,000,000,000,000,000,000,000
