maker	LG	cM	pval	p.adj	p.adg_lg
5310	1	0	0.8969	0.989835673	0.968179722
15611	1	1.173478395	0.32876	0.987572231	0.891888608
19531	1	1.936913362	0.1072	0.987572231	0.891888608
14617	1	1.936913462	0.57186	0.987572231	0.891888608
18161	1	1.936913662	0.71572	0.989835673	0.931635531
48394	1	1.936913762	0.34992	0.987572231	0.891888608
14117	1	1.936913862	0.73774	0.989835673	0.93420337
3203	1	1.936914162	0.51652	0.987572231	0.891888608
45823	1	1.936914262	0.51404	0.987572231	0.891888608
37200	1	1.936914362	0.52874	0.987572231	0.891888608
46782	1	1.936914462	0.66316	0.987572231	0.912460702
55303	1	2.462053279	0.53954	0.987572231	0.891888608
38438	1	2.985393746	0.45056	0.987572231	0.891888608
27966	1	3.678795266	0.59742	0.987572231	0.891888608
9449	1	4.216588203	0.26846	0.987572231	0.891888608
22393	1	5.988424125	0.22768	0.987572231	0.891888608
51512	1	6.256116139	0.28196	0.987572231	0.891888608
38095	1	7.078565984	0.01924	0.987572231	0.560365
21399	1	7.3740756	0.30708	0.987572231	0.891888608
4138	1	9.789065704	0.95302	0.993325742	0.982538319
33492	1	11.06297726	0.0168	0.987572231	0.5592
17784	1	13.40501474	0.1725	0.987572231	0.891888608
53697	1	13.40501484	0.09022	0.987572231	0.891888608
48179	1	39.87618948	0.00518	0.976486875	0.301735
9458	1	40.46099248	0.01008	0.987572231	0.469728
2409	1	41.74731349	0.00072	0.475449231	0.16776
11	1	43.22998528	0.00446	0.976486875	0.301735
37608	1	44.74287574	0.05484	0.987572231	0.891888608
18384	1	44.74287584	0.01658	0.987572231	0.5592
8225	1	45.24457681	0.16642	0.987572231	0.891888608
22273	1	47.9903853	0.4655	0.987572231	0.891888608
45488	1	48.27033302	0.24204	0.987572231	0.891888608
38469	1	53.91503815	0.07768	0.987572231	0.891888608
23658	1	54.35999365	0.29308	0.987572231	0.891888608
19315	1	54.7897339	0.39296	0.987572231	0.891888608
52883	1	55.38253731	0.4372	0.987572231	0.891888608
28251	1	56.8819982	0.36068	0.987572231	0.891888608
19452	1	56.8819983	0.47892	0.987572231	0.891888608
40332	1	58.65019203	0.91976	0.989835673	0.971599552
22924	1	59.07205433	0.82808	0.989835673	0.95481181
51698	1	59.8043363	0.59822	0.987572231	0.891888608
40899	1	64.53668299	0.23344	0.987572231	0.891888608
27904	1	65.11966826	0.92864	0.990136209	0.971599552
34847	1	67.22546034	0.6776	0.989835673	0.91260578
47765	1	68.73345648	0.15624	0.987572231	0.891888608
13304	1	69.1838439	0.31522	0.987572231	0.891888608
42874	1	101.4955528	0.40494	0.987572231	0.891888608
42919	1	101.4955529	0.48586	0.987572231	0.891888608
38937	1	102.1543864	0.60364	0.987572231	0.891888608
37951	1	104.0704921	0.87442	0.989835673	0.955474206
28348	1	104.2652063	0.9299	0.990136209	0.971599552
46398	1	104.7781665	0.65706	0.987572231	0.912460702
2620	1	105.7729303	0.96254	0.993325742	0.986100965
3788	1	106.9977949	0.92152	0.989835673	0.971599552
18617	1	107.590648	0.85504	0.989835673	0.95481181
11738	1	107.5906482	0.80018	0.989835673	0.952052121
35465	1	108.9484875	0.99282	0.996866277	0.99282
26279	1	131.6428966	0.97588	0.994473155	0.98860887
46704	1	133.2347191	0.67528	0.989835673	0.91260578
31375	1	133.9448497	0.52528	0.987572231	0.891888608
34287	1	135.0539418	0.48918	0.987572231	0.891888608
18162	1	135.0539419	0.9174	0.989835673	0.971599552
52220	1	135.053942	0.92632	0.990136209	0.971599552
46632	1	135.0539421	0.538	0.987572231	0.891888608
3808	1	135.0539422	0.79236	0.989835673	0.952052121
53785	1	135.0539423	0.59524	0.987572231	0.891888608
28046	1	135.3240337	0.86056	0.989835673	0.95481181
4617	1	135.3240338	0.79276	0.989835673	0.952052121
20013	1	135.3240339	0.8137	0.989835673	0.952724121
14677	1	136.1224497	0.76894	0.989835673	0.947952487
51288	1	136.8369027	0.56274	0.987572231	0.891888608
28482	1	137.1833415	0.94284	0.991070427	0.9763632
14849	1	137.7078858	0.98638	0.995143165	0.990631638
21004	1	137.7078859	0.2446	0.987572231	0.891888608
1201	1	137.9707926	0.83166	0.989835673	0.95481181
54629	1	137.9707927	0.98322	0.995083462	0.990631638
41596	1	137.9707928	0.56438	0.987572231	0.891888608
3417	1	138.5082816	0.5601	0.987572231	0.891888608
1891	1	138.5082817	0.74652	0.989835673	0.935156774
48957	1	139.5894052	0.35128	0.987572231	0.891888608
37978	1	139.5894053	0.87718	0.989835673	0.955474206
55942	1	139.5894054	0.85994	0.989835673	0.95481181
14193	1	152.9116308	0.22644	0.987572231	0.891888608
41304	1	188.8602356	0.42808	0.987572231	0.891888608
1516	1	200.2702852	0.44996	0.987572231	0.891888608
30822	1	200.8186758	0.2364	0.987572231	0.891888608
23174	1	200.8186759	0.14744	0.987572231	0.891888608
10453	1	201.1393931	0.6501	0.987572231	0.912460702
9222	1	201.4030837	0.2376	0.987572231	0.891888608
